37.0, 13461.0, 359.9375, -1.4375, 2.0625, 0.03, 0.03, 0.11, -0.0, -0.01, 0.0, 11.19, -2.25, -23.25, 
38.0, 13673.0, 359.9375, -1.4375, 2.125, 0.03, 0.0, 0.14, 0.0, -0.03, 0.0, 10.75, -2.25, -23.69, 
39.0, 13880.0, 359.9375, -1.4375, 2.125, 0.03, 0.0, 0.14, -0.0, 0.03, 0.0, 11.06, -1.88, -23.5, 
40.0, 14091.0, 359.9375, -1.4375, 2.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.25, -1.88, -23.06, 
41.0, 14301.0, 359.75, -3.375, -12.75, 0.68, -3.23, 2.42, 5.29, -1.13, -0.74, 7.88, -3.06, -20.88, 
42.0, 14511.0, 1.375, -6.0625, -34.1875, 0.88, -0.29, -0.22, 1.08, 0.61, -0.38, 13.38, -28.0, -20.19, 
43.0, 14723.0, 359.0625, -6.875, -29.5625, 0.03, 0.29, 1.09, -5.06, -0.01, 1.33, 13.06, -28.88, -19.75, 
44.0, 14931.0, 354.75, -7.5, 36.5625, 0.0, -0.31, -0.56, -3.42, 0.69, -0.27, 4.69, 7.0, -37.56, 
45.0, 15141.0, 357.5, -9.3125, 49.8125, -0.32, 0.54, 0.48, -0.09, -0.12, -0.03, 13.56, 21.06, -32.56, 
46.0, 15351.0, 357.3125, -8.8125, 48.8125, -0.05, -0.08, 0.35, 0.67, -0.16, 0.17, 13.69, 22.19, -34.06, 
47.0, 15561.0, 355.875, -7.4375, 39.3125, -0.41, 0.74, -0.33, 2.02, -0.63, 0.19, 12.88, 19.06, -34.88, 
48.0, 15773.0, 354.25, -2.5, 23.375, -0.28, -0.22, 1.02, 1.21, -0.13, 0.26, 6.0, 3.38, -41.06, 
49.0, 15981.0, 353.1875, -1.375, 15.625, -0.18, 0.02, 0.04, 0.32, -0.05, -0.11, 10.56, -3.56, -42.69, 
50.0, 16191.0, 356.6875, -1.125, 11.8125, -0.15, 0.08, 0.34, 0.55, 0.21, -0.49, 9.38, -5.25, -41.38, 
51.0, 16401.0, 3.0625, -2.0, 7.1875, -0.02, 0.45, 0.08, 0.46, 0.14, -0.5, 10.06, -6.5, -39.69, 
52.0, 16611.0, 8.0625, -1.1875, -0.8125, -0.11, -0.43, 0.01, 0.76, -1.36, -0.4, 17.06, -9.88, -37.25, 
53.0, 16823.0, 11.8125, -2.9375, -5.1875, 0.12, 0.0, 0.34, -0.13, 0.24, -0.26, 14.06, -14.88, -35.56, 
54.0, 17031.0, 14.6875, -1.5625, -0.4375, -0.59, 0.24, -0.29, -0.56, -0.34, -0.3, 14.88, -14.06, -36.56, 
55.0, 17241.0, 13.25, 0.5, 2.4375, 0.66, 0.19, 0.23, -0.05, 0.62, 1.6, 9.5, -12.88, -36.5, 
56.0, 17451.0, 5.8125, -1.75, 2.375, -0.07, 0.03, 0.06, 0.03, 0.56, 0.01, 11.75, -16.88, -36.06, 
57.0, 17661.0, 5.6875, -2.0625, 2.375, -0.06, 0.04, 0.12, 0.0, -0.04, -0.0, 11.25, -16.88, -35.19, 
58.0, 17869.0, 5.625, -1.8125, 2.375, -0.05, 0.03, 0.13, -0.01, -0.1, -0.0, 13.0, -15.38, -34.38, 
59.0, 18080.0, 5.625, -1.625, 2.375, 0.03, 0.02, 0.09, 0.0, -0.07, -0.0, 14.5, -15.75, -35.56, 
60.0, 18290.0, 5.625, -1.75, 2.375, -0.01, 0.01, 0.09, 0.0, 0.07, 0.0, 14.75, -16.19, -36.0, 
